Player,Pos.,Team,Total Value,Avg/Year,"Total 
Guaranteed","Avg. 
Guarantee/Year",% Guaranteed
Oday Aboushi,LG,Lions,"$1,050,000","$1,050,000",$0,$0,0.0%
Nick Folk,K,Patriots,"$1,050,000","$1,050,000",$0,$0,0.0%
Nick Bellore,FB,Seahawks,"$1,050,000","$1,050,000",$0,$0,0.0%
Margus Hunt,DT,Bengals,"$1,050,000","$1,050,000",$0,$0,0.0%
Malcolm Smith,LB,Browns,"$1,050,000","$1,050,000",$0,$0,0.0%
Luke Stocker,TE,Falcons,"$1,050,000","$1,050,000",$0,$0,0.0%
LeSean McCoy,RB,Buccaneers,"$1,050,000","$1,050,000",$0,$0,0.0%
LaRoy Reynolds,LB,Falcons,"$1,050,000","$1,050,000",$0,$0,0.0%
Kyle Wilber,LB,Raiders,"$1,050,000","$1,050,000",$0,$0,0.0%
Kai Forbath,K,Rams,"$1,050,000","$1,050,000",$0,$0,0.0%
Julian Stanford,LB,Panthers,"$1,050,000","$1,050,000",$0,$0,0.0%
Jordan Reed,TE,49ers,"$1,050,000","$1,050,000",$0,$0,0.0%
Jabaal Sheard,EDGE,Giants,"$1,050,000","$1,050,000",$0,$0,0.0%
Daren Bates,LB,Titans,"$1,050,000","$1,050,000",$0,$0,0.0%
Daniel Kilgore,C,Chiefs,"$1,050,000","$1,050,000",$0,$0,0.0%
Brian Hoyer,QB,Patriots,"$1,050,000","$1,050,000",$0,$0,0.0%
Adrian Peterson,RB,Lions,"$1,050,000","$1,050,000",$0,$0,0.0%
A.Q. Shipley,C,Buccaneers,"$1,050,000","$1,050,000",$0,$0,0.0%
Jon Weeks,LS,Texans,"$1,050,000","$1,050,000","$112,500","$112,500",10.7%
Marcus Gilbert,RT,Cardinals,"$1,050,000","$1,050,000","$150,000","$150,000",14.3%
Frank Gore,RB,Jets,"$1,050,000","$1,050,000","$200,000","$200,000",19.0%
Tashaun Gipson,S,Bears,"$1,050,000","$1,050,000","$550,000","$550,000",52.4%
JuJu Smith-Schuster,WR,Steelers,"$4,195,778","$1,048,945","$1,984,476","$496,119",47.3%
Chance Warmack,LG,Seahawks,"$1,047,500","$1,047,500",$0,$0,0.0%
Jason Verrett,CB,49ers,"$1,047,500","$1,047,500","$10,000","$10,000",1.0%
Devontae Booker,RB,Raiders,"$1,047,500","$1,047,500","$50,000","$50,000",4.8%
Branden Jackson,EDGE,Seahawks,"$1,047,500","$1,047,500","$75,000","$75,000",7.2%
Tyler Ervin,RB,Packers,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Ty Montgomery,RB,Saints,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Sean Mannion,QB,Vikings,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Phillip Gaines,CB,Texans,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Phillip Dorsett,WR,Seahawks,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Nick O'Leary,TE,Raiders,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Nick Dzubnar,LB,Titans,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Michael Thomas,S,Texans,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Michael Burton,FB,Saints,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Lerentee McCray,LB,Jaguars,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Kavon Frazier,S,Dolphins,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
James Hurst,RT,Saints,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Geronimo Allison,WR,Lions,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Brandon Copeland,EDGE,Patriots,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Ameer Abdullah,RB,Vikings,"$1,047,500","$1,047,500","$137,500","$137,500",13.1%
Justin Ellis,IDL,Ravens,"$1,047,500","$1,047,500","$225,000","$225,000",21.5%
Dwayne Washington,RB,Saints,"$1,047,500","$1,047,500","$298,088","$298,088",28.5%
T.J. Carrie,CB,Colts,"$1,047,500","$1,047,500","$300,000","$300,000",28.6%
Marqise Lee,WR,Patriots,"$1,047,500","$1,047,500","$300,000","$300,000",28.6%
Casey Kreiter,LS,Giants,"$1,047,500","$1,047,500","$337,500","$337,500",32.2%
Jihad Ward,IDL,Ravens,"$1,047,500","$1,047,500","$637,500","$637,500",60.9%
Rashod Hill,RT,Vikings,"$1,047,500","$1,047,500","$887,500","$887,500",84.7%
Patrick Scales,LS,Bears,"$1,047,500","$1,047,500","$887,500","$887,500",84.7%
Nelson Agholor,WR,Raiders,"$1,047,500","$1,047,500","$887,500","$887,500",84.7%
Mike Pennel,IDL,Chiefs,"$1,047,500","$1,047,500","$887,500","$887,500",84.7%
Brett Hundley,QB,Cardinals,"$1,047,500","$1,047,500","$887,500","$887,500",84.7%
Artie Burns,CB,Bears,"$1,047,500","$1,047,500","$887,500","$887,500",84.7%
Antonio Hamilton,CB,Chiefs,"$1,047,500","$1,047,500","$887,500","$887,500",84.7%
Dre'Mont Jones,IDL,Broncos,"$4,158,800","$1,039,700","$1,066,400","$266,600",25.6%
Taylor Moton,RT,Panthers,"$4,158,150","$1,039,538","$1,877,633","$469,408",45.2%
Aaron Brewer,LS,Cardinals,"$4,150,000","$1,037,500","$620,000","$155,000",14.9%
Tyre Phillips,RG,Ravens,"$4,127,292","$1,031,823","$832,292","$208,073",20.2%
Akeem Davis-Gaither,LB,Bengals,"$4,112,508","$1,028,127","$817,508","$204,377",19.9%
Josh Gordon,WR,Seahawks,"$1,027,500","$1,027,500",$0,$0,0.0%
Brandon Parker,LT,Raiders,"$4,095,336","$1,023,834","$1,058,424","$264,606",25.8%
Saahdiq Charles,LT,Washington,"$4,094,368","$1,023,592","$799,368","$199,842",19.5%
John Simpson,LG,Raiders,"$4,091,784","$1,022,946","$796,784","$199,196",19.5%
Darnay Holmes,CB,Giants,"$4,086,888","$1,021,722","$791,888","$197,972",19.4%
Germaine Pratt,LB,Bengals,"$4,083,539","$1,020,885","$1,052,884","$263,221",25.8%
